,id,street_name,limits,total_count,date
7181,KETTNERBL110315,KETTNER BL,F ST - W HARBOR DR,2599,2016-01-05
5691,GST110415,G ST,PACIFIC HY - INDIA ST,2270,2016-01-05
8138,MARKETST110515,MARKET ST,W HARBOR DR - COLUMBIA ST,3610,2016-01-05
271,05AV110715,05 AV,L ST - E HARBOR DR,6489,2016-01-05
2089,BANDYCYNRD111015,BANDY CYN RD,YSABEL CRK RD - SOUTH CITY LIMIT RD,632,2016-01-07
1276,65ST108315,65 ST,WUNDERLIN AV - BROADWAY AV,2528,2016-01-12
2113,BARNETTAV000116,BARNETT AV,PACIFIC HY - JESSOP LN,43090,2016-01-12
8101,MARKETST107115,MARKET ST,59 ST - IONA DR,5881,2016-01-12
11825,SKYLINEDR109315,SKYLINE DR,MEADOWBROOK DR - GREENLAWN DR,4790,2016-01-12
6712,IMPERIALAV108515,IMPERIAL AV,EUCLID AV - SAN JACINTO DR,23538,2016-01-12
5101,EUCLIDAV107015,EUCLID AV,ST RITA PL - MANZANARES WY,11880,2016-01-12
1374,ACACIAST106415,ACACIA ST,38 ST - VESTA ST,3506,2016-01-12
13608,WOODMANST109415,WOODMAN ST,ALTA VIEW DR - SD 054 DR,26595,2016-01-12
9761,OLIVEAV109015,OLIVE AV,PLUMAS ST - REO DR,4439,2016-01-12
9406,NATIONALAV107715,NATIONAL AV,33 ST - 35 ST,11805,2016-01-12
3773,CHURCHWARDST108015,CHURCHWARD ST,MANZANARES WY - DREAM ST,4874,2016-01-12
13017,VESTAST108615,VESTA ST,DALLERGIA ST - MAIN ST,4277,2016-01-12
1291,69ST107315,69 ST,IMPERIAL AV - AKINS AV,3535,2016-01-12
10620,POTOMACST106815,POTOMAC ST,CALLE TORTUOSA DR - SAIPAN DR,3779,2016-01-12
1000,43ST107815,43 ST,DELTA ST - GAMMA ST,18591,2016-01-12
1101,47ST106515,47 ST,SOLOLA AV - LADNER ST,11952,2016-01-12
1091,47ST106615,47 ST,OCEAN VIEW BL - FRANKLIN AV,12893,2016-01-12
3230,CARDIFFST107415,CARDIFF ST,SAN FELIPE ST - SAN VICENTE ST,5292,2016-01-12
8839,MONROEAV000216,MONROE AV,ALDINE DR - 47 ST,18324,2016-01-12
6699,IMPERIALAV106915,IMPERIAL AV,61 ST - 62 ST,16781,2016-01-12
8124,MARKETST107215,MARKET ST,PITTA ST - RADIO DR,11743,2016-01-12
1566,ALLEGHANYST106215,ALLEGHANY ST,RACHAEL AV - FLINTRIDGE DR,7251,2016-01-12
13010,VESTAST108715,VESTA ST,ACACIA ST - BIRCH ST,4456,2016-01-12
1257,62ST108115,62 ST,IMPERIAL AV - AKINS AV,5164,2016-01-12
5367,FEDERALBL108415,FEDERAL BL,MALLARD ST - MACARTHUR DR,12827,2016-01-12
6706,IMPERIALAV109215,IMPERIAL AV,65 ST - 66 ST,16858,2016-01-14
6670,IMPERIALAV107615,IMPERIAL AV,31 ST - 32 ST,6218,2016-01-14
8082,MARKETST106715,MARKET ST,36 ST - GATEWAY CTR DR,23783,2016-01-14
4414,DEEPDELLRD107515,DEEP DELL RD,DEEP DELL CT - PARADISE VY RD,2673,2016-01-14
10122,PARADISEVALLEYRD109515,PARADISE VALLEY RD,JESTER ST - GILMARTIN DR,18633,2016-01-14
6726,IMPERIALAV109115,IMPERIAL AV,RAINBOW ST - FLICKER ST,8902,2016-01-14
