,total_count,date
7181,2599,2016-01-05
5691,2270,2016-01-05
8138,3610,2016-01-05
271,6489,2016-01-05
2089,632,2016-01-07
1276,2528,2016-01-12
2113,43090,2016-01-12
8101,5881,2016-01-12
11825,4790,2016-01-12
6712,23538,2016-01-12
5101,11880,2016-01-12
1374,3506,2016-01-12
13608,26595,2016-01-12
9761,4439,2016-01-12
9406,11805,2016-01-12
3773,4874,2016-01-12
13017,4277,2016-01-12
1291,3535,2016-01-12
10620,3779,2016-01-12
1000,18591,2016-01-12
1101,11952,2016-01-12
1091,12893,2016-01-12
3230,5292,2016-01-12
8839,18324,2016-01-12
6699,16781,2016-01-12
8124,11743,2016-01-12
1566,7251,2016-01-12
13010,4456,2016-01-12
1257,5164,2016-01-12
5367,12827,2016-01-12
6706,16858,2016-01-14
6670,6218,2016-01-14
8082,23783,2016-01-14
4414,2673,2016-01-14
10122,18633,2016-01-14
6726,8902,2016-01-14
7776,10737,2016-01-14
1074,12232,2016-01-14
10130,18364,2016-01-19
9186,4269,2016-01-19
1022,6070,2016-01-19
13353,2345,2016-01-20
1258,4250,2016-01-21
7971,19550,2016-01-21
1551,21104,2016-01-28
2979,9419,2016-01-28
8278,11426,2016-01-28
2224,16858,2016-02-02
6396,3997,2016-02-02
10590,23211,2016-02-02
2177,21626,2016-02-02
1861,3553,2016-02-02
2196,6300,2016-02-02
2190,23374,2016-02-02
11627,10298,2016-02-02
2915,32804,2016-02-02
3363,26985,2016-02-02
3468,14878,2016-02-02
8190,5357,2016-02-02
2679,7542,2016-02-02
12319,1994,2016-02-03
4512,5247,2016-02-03
6684,12089,2016-02-03
3476,17914,2016-02-16
6465,15964,2016-02-16
13235,15023,2016-02-16
10774,21253,2016-02-16
2639,7889,2016-02-16
3399,37393,2016-02-23
5178,3594,2016-02-23
10502,27566,2016-02-25
8252,7638,2016-03-01
6785,10276,2016-03-01
1887,7531,2016-03-01
5440,22549,2016-03-01
10210,19352,2016-03-01
6130,25749,2016-03-01
10383,15906,2016-03-01
4968,6878,2016-03-01
4963,5768,2016-03-01
23,3474,2016-03-01
1893,7935,2016-03-01
7588,17223,2016-03-01
5983,6651,2016-03-01
12801,11628,2016-03-01
3935,4994,2016-03-01
350,11527,2016-03-01
4864,39916,2016-03-01
1739,10399,2016-03-01
9625,28516,2016-03-02
10983,5160,2016-03-02
13308,5977,2016-03-02
5429,4402,2016-03-02
12817,18431,2016-03-03
210,7422,2016-03-10
393,37557,2016-03-10
8287,5251,2016-03-16
12432,2896,2016-03-16
11082,9924,2016-03-22
9825,4114,2016-03-22
12343,3733,2016-03-22
7670,4414,2016-03-29
12932,3852,2016-03-29
12349,24256,2016-03-29
4858,21108,2016-03-29
7921,5207,2016-03-29
7911,6258,2016-03-29
1328,15259,2016-03-30
13,25715,2016-03-30
4103,3117,2016-03-30
270,7747,2016-03-30
644,3348,2016-03-30
7669,7174,2016-03-30
1765,10080,2016-03-30
3923,3662,2016-03-30
7211,15291,2016-03-30
12353,24323,2016-03-30
12871,10111,2016-03-30
1918,5894,2016-03-30
12910,12147,2016-03-30
12655,19516,2016-04-05
5580,48824,2016-04-05
1323,14547,2016-04-05
9662,3240,2016-04-05
1322,14547,2016-04-05
1756,11211,2016-04-05
5354,4747,2016-04-05
7596,30475,2016-04-06
6792,16600,2016-04-06
377,18672,2016-04-06
286,8391,2016-04-06
6761,3708,2016-04-06
96,4130,2016-04-06
54,5783,2016-04-06
10954,3788,2016-04-06
